id,created_at,user_id,product_id,trans_num,amount,status,coupon_id,coupon,year
83,27/11/2017 0:00,,2717,mp-txn-62cff4a593174,1500,pending,0,,2017
2087,27/11/2017 0:00,81,3264,mp-txn-62e0f02ae9c3f,0,complete,0,,2017
2158,27/11/2017 12:49,81,6380,mp-txn-6308700e04203,1500,complete,0,,2017
2159,27/11/2017 12:49,81,6380,mp-txn-6308b860564cb,1500,complete,0,,2017
82,10/01/2019 0:00,,5303,mp-txn-62cd95718a008,1500,pending,0,,2019
86,10/01/2019 0:00,20,2717,mp-txn-62cff91d48414,1500,pending,0,,2019
87,10/01/2019 0:00,20,2627,mp-txn-62cffae6dcae3,0,complete,0,,2019
88,10/01/2019 0:00,20,2627,mp-txn-62cfffd5db176,0,complete,0,,2019
45,01/10/2019 13:49,20,5121,mp-txn-628cca85d529a,1500,complete,0,,2019
2,14/03/2022 11:07,,707,mp-txn-622f21f5aaf6c,0,complete,0,,2022
3,14/03/2022 16:07,,707,mp-txn-622f6858bd98e,0,complete,0,,2022
4,16/03/2022 12:04,6,1346,mp-txn-6231d25b854c2,0,complete,0,,2022
75,01/04/2022 9:58,72,3746,mp-txn-62c59e417998d,1,complete,0,,2022
6,29/04/2022 11:57,1,2550,mp-txn-626bd2b4d31fc,0,complete,0,,2022
7,29/04/2022 12:01,6,2550,mp-txn-626bd38a052af,0,complete,0,,2022
8,04/05/2022 11:51,11,2550,mp-txn-627268d297924,0,complete,0,,2022
9,05/05/2022 9:35,17,2625,mp-txn-62739a74b07b0,0,complete,0,,2022
10,11/05/2022 18:28,6,2625,mp-txn-627c004eb8431,0,complete,0,,2022
13,11/05/2022 19:01,18,2627,mp-txn-627c082381c8b,0,complete,0,,2022
14,12/05/2022 8:31,19,2625,mp-txn-627cc5ec00ef3,0,complete,0,,2022
15,12/05/2022 10:05,20,2625,mp-txn-627cdbe965277,0,complete,0,,2022
16,12/05/2022 10:37,21,2625,mp-txn-627ce364cd05d,0,complete,0,,2022
17,12/05/2022 10:39,21,2550,mp-txn-627ce3d74f45d,0,complete,0,,2022
18,12/05/2022 13:50,22,2717,mp-txn-627d10b354b03,0,complete,0,,2022
19,16/05/2022 6:05,24,2717,mp-txn-6281e9bc1f4b5,0,complete,0,,2022
20,16/05/2022 6:06,25,3746,mp-txn-6281e9d69aa10,0,complete,0,,2022
21,16/05/2022 6:06,26,3746,mp-txn-6281e9e6667b5,0,complete,0,,2022
22,16/05/2022 6:06,27,2717,mp-txn-6281e9fe09150,0,complete,0,,2022
23,16/05/2022 6:07,28,3746,mp-txn-6281ea0b85c9d,0,complete,0,,2022
24,16/05/2022 6:07,29,3746,mp-txn-6281ea1ef0216,0,complete,0,,2022
25,16/05/2022 6:07,31,2717,mp-txn-6281ea2e718f8,0,complete,0,,2022
26,16/05/2022 6:08,30,3746,mp-txn-6281ea497ab9a,0,complete,0,,2022
27,16/05/2022 7:59,20,2550,mp-txn-6282047b7bc73,0,complete,0,,2022
48,16/05/2022 9:50,49,3746,mp-txn-62949378984a5,0,complete,0,,2022
28,16/05/2022 16:18,22,2627,mp-txn-628279420a3cc,0,complete,0,,2022
36,21/05/2022 17:38,39,2550,mp-txn-62890b7196a73,147,complete,0,,2022
32,21/05/2022 17:40,35,2550,mp-txn-62890838d2c66,147,complete,0,,2022
33,21/05/2022 17:43,36,2550,mp-txn-628909218e60b,147,complete,0,,2022
34,21/05/2022 17:45,37,2550,mp-txn-6289096aa65c5,147,complete,0,,2022
35,21/05/2022 17:46,38,2550,mp-txn-628909d2346ed,147,complete,0,,2022
37,23/05/2022 7:54,40,3746,mp-txn-628b3d9e1ffd7,0,complete,0,,2022
38,23/05/2022 7:54,41,3746,mp-txn-628b3db58d6a9,0,complete,0,,2022
39,23/05/2022 7:54,42,3746,mp-txn-628b3dc5a70d6,0,complete,0,,2022
40,23/05/2022 7:54,43,3746,mp-txn-628b3dd01f2ab,0,complete,0,,2022
41,23/05/2022 7:55,44,3746,mp-txn-628b3de0524ff,0,complete,0,,2022
42,23/05/2022 7:55,45,3746,mp-txn-628b3debb97fe,0,pending,0,,2022
43,23/05/2022 22:26,46,2625,mp-txn-628bedf9dcf91,1,complete,0,,2022
44,24/05/2022 11:21,47,2625,mp-txn-628ca3a8e1dac,1,complete,0,,2022
47,24/05/2022 17:02,48,5121,mp-txn-628cf3867be28,1,complete,0,,2022
49,31/05/2022 18:51,,707,mp-txn-629663b815c4b,0,complete,0,,2022
52,03/06/2022 10:30,51,5303,mp-txn-6299e2d542735,0,complete,0,,2022
53,03/06/2022 14:22,52,5303,mp-txn-629a1915bb536,0,complete,0,,2022
54,03/06/2022 14:24,53,5303,mp-txn-629a1982165ac,0,complete,0,,2022
55,03/06/2022 14:25,54,5303,mp-txn-629a19c172e3a,0,complete,0,,2022
56,03/06/2022 14:25,55,5303,mp-txn-629a19f32e848,0,complete,0,,2022
57,06/06/2022 8:19,56,707,mp-txn-629db8865f50b,0,complete,0,,2022
58,08/06/2022 13:12,57,3746,mp-txn-62a0a04966472,0,complete,0,,2022
59,08/06/2022 13:13,58,3746,mp-txn-62a0a068b4c89,0,complete,0,,2022
60,08/06/2022 13:13,59,3746,mp-txn-62a0a0804c0a6,0,complete,0,,2022
61,08/06/2022 13:14,60,3746,mp-txn-62a0a0a9bff41,0,complete,0,,2022
62,08/06/2022 13:14,61,3746,mp-txn-62a0a0cbf3a0c,0,complete,0,,2022
63,08/06/2022 13:15,62,3746,mp-txn-62a0a0ef14695,0,complete,0,,2022
64,08/06/2022 13:16,63,3746,mp-txn-62a0a110f20cf,0,complete,0,,2022
65,08/06/2022 13:16,64,3746,mp-txn-62a0a1358607f,0,complete,0,,2022
66,13/06/2022 10:23,65,3746,mp-txn-62a710114bfa9,0,complete,0,,2022
67,13/06/2022 10:23,66,3746,mp-txn-62a71029d5988,0,complete,0,,2022
68,13/06/2022 12:47,67,2717,mp-txn-62a8834796929,0,complete,0,,2022
69,15/06/2022 17:40,34,2627,mp-txn-62aa197b0c0e4,0,complete,0,,2022
72,27/06/2022 17:14,68,3746,mp-txn-62b9e564c4350,0,complete,0,,2022
2088,29/06/2022 13:01,831,2627,mp-txn-62e1374620014,0,complete,0,,2022
2089,29/06/2022 13:05,831,2550,mp-txn-62e138286c751,0,complete,0,,2022
2090,29/06/2022 13:06,831,3080,mp-txn-62e138651cd53,0,complete,0,,2022
73,01/07/2022 12:19,69,2627,mp-txn-62bee64e03897,0,complete,0,,2022
74,04/07/2022 18:31,70,2717,mp-txn-62c3321b337cb,0,complete,0,,2022
76,06/07/2022 17:00,73,3746,mp-txn-62c5bf9f68f23,0,complete,0,,2022
77,06/07/2022 21:24,74,2717,mp-txn-62c5fd80f336b,0,complete,0,,2022
78,07/07/2022 11:47,75,3746,mp-txn-62c6c7d6da6aa,0,complete,0,,2022
79,07/07/2022 14:39,76,3746,mp-txn-62c6f006b795a,0,complete,0,,2022
80,11/07/2022 18:28,78,2717,mp-txn-62cc6bb655ed8,0,complete,0,,2022
81,12/07/2022 9:28,56,3746,mp-txn-62cd3eb3a5dc1,0,complete,0,,2022
90,14/07/2022 0:00,80,2717,mp-txn-62d00ddbee1b8,0,complete,0,,2022
91,14/07/2022 0:00,80,2627,mp-txn-62d00dde70bf7,0,complete,0,,2022
85,14/07/2022 11:07,20,2717,mp-txn-62cff8fcae9e7,1500,complete,0,,2022
92,14/07/2022 12:42,78,2627,mp-txn-62d00f4274573,0,complete,0,,2022
93,14/07/2022 12:47,74,2627,mp-txn-62d0104ac2225,0,complete,0,,2022
94,14/07/2022 12:48,70,2627,mp-txn-62d010aa57dc3,0,complete,0,,2022
